L_um,L_actual_um,nIntn,cv_m_per_s,r2,charge_pC_per_mm,atp_mol_per_mm,totalLength_um,propagated
30,30,136,2.68080150074929,0.999999999999235,3.38739937976322,1.17026804849224e-17,4.284,1
35,35,117,2.70880129132312,0.999999999997876,2.95940520370692,1.02240597112053e-17,4.27050000000001,1
40,40,102,2.72246536727674,0.999999999997844,2.63537007688271,9.10459338025844e-18,4.233,1
45,45,91,2.72585232951214,0.999999999996235,2.3815408103808,8.22767204014718e-18,4.2315,1
50,50,82,2.72115489440539,0.99999999999448,2.17703994091339,7.52116888951093e-18,4.223,1
55,55,74,2.7116255815582,0.999999999997184,2.00835265928118,6.93839339199939e-18,4.18100000000001,1
60,59.9999999999999,68,2.69801200600466,0.999999999996338,1.86800441091138,6.45352269234036e-18,4.182,1
65,64.9999999999999,63,2.68132319158618,0.999999999999185,1.74846680959169,6.0405479594123e-18,4.1895,1
70,70,58,2.66195553268924,0.999999999999104,1.64634345250398,5.68773540793552e-18,4.147,1
75,75.0000000000001,54,2.64131503570034,0.999999999996898,1.55669838446519,5.37803245570187e-18,4.13100000000001,1
80,79.9999999999998,51,2.61939636889945,0.999999999998133,1.48015648324757,5.1135979107204e-18,4.15649999999999,1
85,85.0000000000001,48,2.59654946299107,0.999999999996893,1.40977860047483,4.87045862215138e-18,4.152,1
90,89.9999999999999,45,2.57273512476775,0.99999999999719,1.34725819386663,4.65446509428626e-18,4.1175,1
95,95.0000000000002,43,2.54875884397099,0.999999999996885,1.29326162678676,4.46791945824658e-18,4.14950000000001,1
100,99.9999999999998,41,2.52446411611927,0.999999999998084,1.2451995598577,4.30187614605965e-18,4.16149999999999,1
105,105,39,2.49976212530257,0.999999999995387,1.19774661063391,4.13793719449968e-18,4.15350000000001,1
110,110,37,2.47519264040469,0.999999999997958,1.15896849392197,4.00396778055992e-18,4.12550000000001,1
115,115,36,2.45061674881384,0.999999999998247,1.1218309094841,3.8756660257522e-18,4.19400000000001,1
120,120,34,2.42607878690974,0.99999999999921,1.08511053461718,3.74880563340479e-18,4.13099999999999,1
125,125,33,2.401451992206,0.999999999997786,1.05406319372258,3.64154425980749e-18,4.17450000000001,1
130,130,31,2.37714234466025,0.999999999995534,1.02857632123129,3.55349301698464e-18,4.0765,1
135,135,30,2.35298070875996,0.999999999998282,0.996264353556033,3.44186265069193e-18,4.095,1
140,140,29,2.32899172234173,0.999999999997929,0.972103288217047,3.35839176458188e-18,4.10349999999999,1
145,145,28,2.30503933028533,0.999999999994491,0.949971895497838,3.28193292739057e-18,4.102,1
150,150.000000000001,27,2.28144669396105,0.999999999999244,0.92967827100481,3.21182315387473e-18,4.09050000000001,1
155,155,26,2.25806126249137,0.999999999998381,0.911182689358249,3.14792520204608e-18,4.06900000000001,1
160,160,26,2.23488618805607,0.999999999996995,0.890090419939882,3.0750562952441e-18,4.199,1
