L_um,L_actual_um,nIntn,nNode,distalNode,distance_mm,meanLatency_ms,sigma_t_ms,sigma_per_mm,nValid,failed_rate
30,30,136,137,110,3.4335,0.207438,0.0784151,0.0228382,100,0
35,35,117,118,95,3.431,0.210095,0.0716898,0.0208947,100,0
40,40,102,103,83,3.403,0.226413,0.077671,0.0228243,100,0
45,45,91,92,74,3.3945,0.21451,0.0820098,0.0241596,100,0
50,50,82,83,67,3.399,0.246976,0.0886112,0.0260698,100,0
55,55,74,75,60,3.3335,0.244005,0.0909878,0.027295,100,0
60,60,68,69,55,3.321,0.264491,0.096783,0.0291427,100,0
65,65,63,64,51,3.325,0.271415,0.0870165,0.0261704,100,0
70,70,58,59,47,3.289,0.285852,0.0882311,0.0268261,100,0
75,75,54,55,44,3.2895,0.285046,0.105473,0.0320635,100,0
80,80,51,52,42,3.3415,0.292198,0.108172,0.0323722,100,0
85,85,48,49,39,3.287,0.296596,0.0977683,0.0297439,100,0
90,90,45,46,37,3.294,0.296569,0.103132,0.0313092,100,0
95,95,43,44,35,3.281,0.299494,0.122335,0.0372859,100,0
100,100,41,42,34,3.3495,0.313666,0.104086,0.031075,100,0
105,105,39,40,32,3.3015,0.316586,0.103161,0.0312468,100,0
110,110,37,38,31,3.345,0.319294,0.121273,0.036255,100,0
115,115,36,37,30,3.3785,0.335512,0.105155,0.0311247,100,0
120,120,34,35,28,3.2805,0.370997,0.120215,0.0366455,100,0
125,125,33,34,27,3.289,0.34982,0.128382,0.0390338,100,0
130,130,31,32,26,3.2875,0.341383,0.11963,0.0363893,100,0
135,135,30,31,25,3.276,0.360904,0.121811,0.0371828,100,0
140,140,29,30,24,3.2545,0.370201,0.13216,0.0406085,100,0
145,145,28,29,23,3.223,0.396447,0.123477,0.0383112,100,0
150,150,27,28,23,3.333,0.379473,0.120765,0.0362332,100,0
155,155,26,27,22,3.2865,0.371579,0.124724,0.0379506,100,0
160,160,26,27,22,3.3915,0.377338,0.127273,0.037527,100,0
