L_um,L_actual_um,nIntn,cv_m_per_s,r2,charge_pC_per_mm,atp_mol_per_mm,totalLength_um,propagated
30,30,136,2.68080150074929,0.999999999999235,3.38739937976322,1.17026804849224e-17,4.284,1
40,40,102,2.72246536727674,0.999999999997844,2.63537007688271,9.10459338025844e-18,4.233,1
50,50,82,2.72115489440539,0.99999999999448,2.17703994091339,7.52116888951093e-18,4.223,1
60,59.9999999999999,68,2.69801200600466,0.999999999996338,1.86800441091138,6.45352269234036e-18,4.182,1
70,70,58,2.66195553268924,0.999999999999104,1.64634345250398,5.68773540793552e-18,4.147,1
80,79.9999999999998,51,2.61939636889945,0.999999999998133,1.48015648324757,5.1135979107204e-18,4.15649999999999,1
90,89.9999999999999,45,2.57273512476775,0.99999999999719,1.34725819386663,4.65446509428626e-18,4.1175,1
100,99.9999999999998,41,2.52446411611927,0.999999999998084,1.2451995598577,4.30187614605965e-18,4.16149999999999,1
110,110,37,2.47519264040469,0.999999999997958,1.15896849392197,4.00396778055992e-18,4.12550000000001,1
120,120,34,2.42607878690974,0.99999999999921,1.08511053461718,3.74880563340479e-18,4.13099999999999,1
130,130,31,2.37714234466025,0.999999999995534,1.02857632123129,3.55349301698464e-18,4.0765,1
140,140,29,2.32899172234173,0.999999999997929,0.972103288217047,3.35839176458188e-18,4.10349999999999,1
150,150.000000000001,27,2.28144669396105,0.999999999999244,0.92967827100481,3.21182315387473e-18,4.09050000000001,1
160,160,26,2.23488618805607,0.999999999996995,0.890090419939882,3.0750562952441e-18,4.199,1
